Thu May 28 06:36:35 PM UTC 2026 - Sistema iniciado
2026-05-28 23:01:55 | web             | LIST       | entrada/ (0 archivos)
2026-05-28 23:01:55 | web             | LIST       | procesados/ (5 archivos)
2026-05-28 23:02:38 | web             | LIST       | procesados/ (5 archivos)
2026-05-28 23:02:38 | web             | LIST       | entrada/ (0 archivos)
2026-05-28 23:02:55 | web             | LIST       | procesados/ (5 archivos)
2026-05-28 23:02:55 | web             | LIST       | entrada/ (0 archivos)
2026-05-28 23:03:38 | web             | LIST       | procesados/ (5 archivos)
2026-05-28 23:03:38 | web             | LIST       | entrada/ (0 archivos)
2026-05-28 23:03:55 | web             | LIST       | entrada/ (0 archivos)
2026-05-28 23:03:55 | web             | LIST       | procesados/ (5 archivos)
2026-05-28 23:04:38 | web             | LIST       | procesados/ (5 archivos)
2026-05-28 23:04:38 | web             | LIST       | entrada/ (0 archivos)
2026-05-28 23:04:55 | web             | LIST       | procesados/ (5 archivos)
2026-05-28 23:04:55 | web             | LIST       | entrada/ (0 archivos)
2026-05-28 23:05:38 | web             | LIST       | procesados/ (5 archivos)
2026-05-28 23:05:38 | web             | LIST       | entrada/ (0 archivos)
2026-05-28 23:05:55 | web             | LIST       | procesados/ (5 archivos)
2026-05-28 23:05:55 | web             | LIST       | entrada/ (0 archivos)
2026-05-28 23:06:38 | web             | LIST       | entrada/ (0 archivos)
2026-05-28 23:06:38 | web             | LIST       | procesados/ (5 archivos)
2026-05-28 23:06:55 | web             | LIST       | entrada/ (0 archivos)
2026-05-28 23:06:55 | web             | LIST       | procesados/ (5 archivos)
2026-05-28 23:07:38 | web             | LIST       | procesados/ (5 archivos)
2026-05-28 23:07:38 | web             | LIST       | entrada/ (0 archivos)
2026-05-28 23:07:55 | web             | LIST       | entrada/ (0 archivos)
2026-05-28 23:07:55 | web             | LIST       | procesados/ (5 archivos)
2026-05-28 23:08:38 | web             | LIST       | procesados/ (5 archivos)
2026-05-28 23:08:38 | web             | LIST       | entrada/ (0 archivos)
2026-05-28 23:08:55 | web             | LIST       | procesados/ (5 archivos)
2026-05-28 23:08:55 | web             | LIST       | entrada/ (0 archivos)
2026-05-28 23:09:38 | web             | LIST       | entrada/ (0 archivos)
2026-05-28 23:09:38 | web             | LIST       | procesados/ (5 archivos)
2026-05-28 23:09:55 | web             | LIST       | entrada/ (0 archivos)
2026-05-28 23:09:55 | web             | LIST       | procesados/ (5 archivos)
2026-05-28 23:10:38 | web             | LIST       | entrada/ (0 archivos)
2026-05-28 23:10:38 | web             | LIST       | procesados/ (5 archivos)
2026-05-28 23:10:55 | web             | LIST       | procesados/ (5 archivos)
2026-05-28 23:10:55 | web             | LIST       | entrada/ (0 archivos)
2026-05-28 23:11:38 | web             | LIST       | entrada/ (0 archivos)
2026-05-28 23:11:38 | web             | LIST       | procesados/ (5 archivos)
2026-05-28 23:11:55 | web             | LIST       | entrada/ (0 archivos)
2026-05-28 23:11:55 | web             | LIST       | procesados/ (5 archivos)
2026-05-28 23:12:38 | web             | LIST       | procesados/ (5 archivos)
2026-05-28 23:12:38 | web             | LIST       | entrada/ (0 archivos)
2026-05-28 23:12:55 | web             | LIST       | procesados/ (5 archivos)
2026-05-28 23:12:55 | web             | LIST       | entrada/ (0 archivos)
2026-05-28 23:13:38 | web             | LIST       | entrada/ (0 archivos)
2026-05-28 23:13:38 | web             | LIST       | procesados/ (5 archivos)
2026-05-28 23:13:55 | web             | LIST       | entrada/ (0 archivos)
2026-05-28 23:13:55 | web             | LIST       | procesados/ (5 archivos)
2026-05-28 23:14:38 | web             | LIST       | entrada/ (0 archivos)
2026-05-28 23:14:38 | web             | LIST       | procesados/ (5 archivos)
2026-05-28 23:14:55 | web             | LIST       | procesados/ (5 archivos)
2026-05-28 23:14:55 | web             | LIST       | entrada/ (0 archivos)
2026-05-28 23:15:38 | web             | LIST       | entrada/ (0 archivos)
2026-05-28 23:15:38 | web             | LIST       | procesados/ (5 archivos)
2026-05-28 23:15:55 | web             | LIST       | entrada/ (0 archivos)
2026-05-28 23:15:55 | web             | LIST       | procesados/ (5 archivos)
2026-05-28 23:16:38 | web             | LIST       | entrada/ (0 archivos)
2026-05-28 23:16:38 | web             | LIST       | procesados/ (5 archivos)
2026-05-28 23:16:55 | web             | LIST       | entrada/ (0 archivos)
2026-05-28 23:16:55 | web             | LIST       | procesados/ (5 archivos)
2026-05-28 23:17:38 | web             | LIST       | entrada/ (0 archivos)
2026-05-28 23:17:38 | web             | LIST       | procesados/ (5 archivos)
2026-05-28 23:17:55 | web             | LIST       | entrada/ (0 archivos)
2026-05-28 23:17:55 | web             | LIST       | procesados/ (5 archivos)
2026-05-28 23:18:38 | web             | LIST       | procesados/ (5 archivos)
2026-05-28 23:18:38 | web             | LIST       | entrada/ (0 archivos)
2026-05-28 23:18:55 | web             | LIST       | entrada/ (0 archivos)
2026-05-28 23:18:55 | web             | LIST       | procesados/ (5 archivos)
2026-05-28 23:19:38 | web             | LIST       | entrada/ (0 archivos)
2026-05-28 23:19:38 | web             | LIST       | procesados/ (5 archivos)
2026-05-28 23:19:55 | web             | LIST       | procesados/ (5 archivos)
2026-05-28 23:19:55 | web             | LIST       | entrada/ (0 archivos)
2026-05-28 23:20:35 | 201.246.46.103:62134 | CONNECT    | Cliente conectado
2026-05-28 23:20:38 | web             | LIST       | procesados/ (5 archivos)
2026-05-28 23:20:38 | web             | LIST       | entrada/ (0 archivos)
2026-05-28 23:20:40 | 201.246.46.103:62134 | LIST       | 0 archivo(s)
2026-05-28 23:20:50 | 201.246.46.103:62134 | LISTPROC   | 5 archivo(s)
2026-05-28 23:20:55 | web             | LIST       | procesados/ (5 archivos)
2026-05-28 23:20:55 | web             | LIST       | entrada/ (0 archivos)
2026-05-28 23:21:02 | 201.246.46.103:62134 | READ       | ERROR — archivo3.txt no existe
2026-05-28 23:21:38 | web             | LIST       | entrada/ (0 archivos)
2026-05-28 23:21:38 | web             | LIST       | procesados/ (5 archivos)
2026-05-28 23:21:55 | web             | LIST       | procesados/ (5 archivos)
2026-05-28 23:21:55 | web             | LIST       | entrada/ (0 archivos)
2026-05-28 23:22:38 | web             | LIST       | entrada/ (0 archivos)
2026-05-28 23:22:38 | web             | LIST       | procesados/ (5 archivos)
2026-05-28 23:22:55 | web             | LIST       | procesados/ (5 archivos)
2026-05-28 23:22:55 | web             | LIST       | entrada/ (0 archivos)
2026-05-28 23:23:38 | web             | LIST       | entrada/ (0 archivos)
2026-05-28 23:23:38 | web             | LIST       | procesados/ (5 archivos)
2026-05-28 23:23:55 | web             | LIST       | procesados/ (5 archivos)
2026-05-28 23:23:55 | web             | LIST       | entrada/ (0 archivos)
2026-05-28 23:24:06 | 201.246.46.103:62134 | READ       | ERROR — archivo3.txt no existe
2026-05-28 23:24:38 | web             | LIST       | procesados/ (5 archivos)
2026-05-28 23:24:38 | web             | LIST       | entrada/ (0 archivos)
2026-05-28 23:24:55 | web             | LIST       | entrada/ (0 archivos)
2026-05-28 23:24:55 | web             | LIST       | procesados/ (5 archivos)
2026-05-28 23:25:38 | web             | LIST       | entrada/ (0 archivos)
2026-05-28 23:25:38 | web             | LIST       | procesados/ (5 archivos)
2026-05-28 23:25:55 | web             | LIST       | entrada/ (0 archivos)
2026-05-28 23:25:55 | web             | LIST       | procesados/ (5 archivos)
2026-05-28 23:26:38 | web             | LIST       | entrada/ (0 archivos)
2026-05-28 23:26:38 | web             | LIST       | procesados/ (5 archivos)
2026-05-28 23:26:52 | web             | LIST       | entrada/ (0 archivos)
2026-05-28 23:26:52 | web             | LIST       | procesados/ (5 archivos)
2026-05-28 23:26:55 | web             | LIST       | entrada/ (0 archivos)
2026-05-28 23:26:55 | web             | LIST       | procesados/ (5 archivos)
2026-05-28 23:27:38 | web             | LIST       | procesados/ (5 archivos)
2026-05-28 23:27:38 | web             | LIST       | entrada/ (0 archivos)
2026-05-28 23:27:55 | web             | LIST       | procesados/ (5 archivos)
2026-05-28 23:27:55 | web             | LIST       | entrada/ (0 archivos)
2026-05-28 23:28:38 | web             | LIST       | entrada/ (0 archivos)
2026-05-28 23:28:38 | web             | LIST       | procesados/ (5 archivos)
2026-05-28 23:28:41 | 201.246.46.103:62134 | READ       | ERROR — archivo3.txt no existe
2026-05-28 23:28:43 | 201.246.46.103:62134 | DISCONNECT | Cliente desconectado
2026-05-28 23:28:46 | 201.246.46.103:51905 | CONNECT    | Cliente conectado
2026-05-28 23:28:55 | web             | LIST       | entrada/ (0 archivos)
2026-05-28 23:28:55 | web             | LIST       | procesados/ (5 archivos)
2026-05-28 23:28:56 | 201.246.46.103:51905 | READ       | ERROR — archivo3.txt no existe
2026-05-28 23:29:38 | web             | LIST       | entrada/ (0 archivos)
2026-05-28 23:29:38 | web             | LIST       | procesados/ (5 archivos)
2026-05-28 23:29:55 | web             | LIST       | entrada/ (0 archivos)
2026-05-28 23:29:55 | web             | LIST       | procesados/ (5 archivos)
2026-05-28 23:30:03 | 201.246.46.103:51905 | DISCONNECT | Cliente desconectado
2026-05-28 23:30:38 | web             | LIST       | entrada/ (0 archivos)
2026-05-28 23:30:38 | web             | LIST       | procesados/ (5 archivos)
2026-05-28 23:30:55 | web             | LIST       | entrada/ (0 archivos)
2026-05-28 23:30:55 | web             | LIST       | procesados/ (5 archivos)
2026-05-28 23:31:15 | 201.246.46.103:51935 | CONNECT    | Cliente conectado
2026-05-28 23:31:22 | 201.246.46.103:51935 | READ       | ERROR — archivo3.txt no existe
2026-05-28 23:31:35 | 201.246.46.103:51935 | LISTPROC   | 5 archivo(s)
2026-05-28 23:31:38 | web             | LIST       | entrada/ (0 archivos)
2026-05-28 23:31:38 | web             | LIST       | procesados/ (5 archivos)
2026-05-28 23:31:49 | 201.246.46.103:51935 | READ       | ERROR — archivo2 no existe
2026-05-28 23:31:55 | web             | LIST       | entrada/ (0 archivos)
2026-05-28 23:31:55 | web             | LIST       | procesados/ (5 archivos)
2026-05-28 23:32:09 | 201.246.46.103:51935 | READ       | ERROR — archivo3.txt no existe
2026-05-28 23:32:38 | web             | LIST       | entrada/ (0 archivos)
2026-05-28 23:32:38 | web             | LIST       | procesados/ (5 archivos)
2026-05-28 23:32:55 | web             | LIST       | entrada/ (0 archivos)
